timestamp,latitude,longitude,chlorophyll_a,site_id,site_name,bloom_probability,risk_level,bloom_label,data_source,sst,turbidity,salinity
2025-04-01,51.020832,-10.979161,1.4186597,S999,Open Water,0.05,low,0,copernicus_satellite,14.627757800608856,2.9936431410180306,32.566803311909595
2025-04-01,51.020832,-10.937495,1.3884693,S999,Open Water,0.05,low,0,copernicus_satellite,15.964203766148751,3.0221180922582978,33.59878003424553
2025-04-01,51.020832,-10.895828,1.3529419,S999,Open Water,0.05,low,0,copernicus_satellite,12.629967258027877,2.0955948112984557,34.17932811220347
2025-04-01,51.020832,-10.854161,1.4181885,S999,Open Water,0.05,low,0,copernicus_satellite,13.411262852193875,3.8076101121614396,33.65690714192046
2025-04-01,51.020832,-10.812495,1.5161182,S999,Open Water,0.05,low,0,copernicus_satellite,14.240704204800313,2.5591980929186686,33.878892069457024
2025-04-01,51.020832,-10.770828,1.7475415,S999,Open Water,0.05,low,0,copernicus_satellite,12.328296987326112,4.409844572545366,34.07076475268849
2025-04-01,51.020832,-10.729161,2.1716545,S999,Open Water,0.05,low,0,copernicus_satellite,11.580988506078548,3.8162625096621863,32.400613601537984
2025-04-01,51.020832,-10.687495,2.210342,S999,Open Water,0.05,low,0,copernicus_satellite,13.458226916325707,3.0993076773881727,32.22316852912478
2025-04-01,51.020832,-10.645828,2.231269,S999,Open Water,0.05,low,0,copernicus_satellite,15.335682838338295,2.9977781882890358,34.61788773647788
2025-04-01,51.020832,-10.604161,2.0176098,S999,Open Water,0.05,low,0,copernicus_satellite,13.384494409100293,3.2809625888548837,32.65708342589473
2025-04-01,51.020832,-10.562495,1.8216332,S999,Open Water,0.05,low,0,copernicus_satellite,15.795000011340033,3.5246246643679697,34.07332279399421
2025-04-01,51.020832,-10.520828,1.7600374,S999,Open Water,0.05,low,0,copernicus_satellite,13.789126482640862,3.1287126335192044,34.41118047819184
2025-04-01,51.020832,-10.479161,1.872142,S999,Open Water,0.05,low,0,copernicus_satellite,12.63279743792975,0.45023786586778947,33.401984700353744
